Appendage,Gene,Name,Category,LFC_sex,padj_sex,Sex_bias,LFC_mating,padj_mating,GO_Domain,GO_Name,Chemosensory_family,Dmel_hit,Dmel_gene_symbol,Dmel_protein_description,Dmel_evalue,Dmel_pct_aa_identity,Dmel_query_coverage_pct,Dmel_bitscore,NCBI_gene_name
Antenna,XM_038064332.1,actin cytoskeleton-regulatory complex protein PAN1,Sex-dimorphic only,1.231545871,2.02651285004557e-06,Female-biased,0.552928377,0.000160862,Unknown,Unknown,NA,TRUE,NP_572595.2| uncharacterized protein Dmel_CG15252,"NP_572595.2| uncharacterized protein Dmel_CG15252, isoform C",8.86e-41,65.4,19.6,158.3,actin cytoskeleton-regulatory complex protein PAN1
Antenna,XM_038066112.1,uncharacterized LOC119658620,Sex-dimorphic only,1.23087444,0.000216379,Female-biased,-0.156275361,0.838621401,Unknown,Unknown,NA,TRUE,AAL48052.1| RE66124p,AAL48052.1| RE66124p,1.07e-62,34.9,90.5,209.5,uncharacterized LOC119658620
Antenna,XM_038051095.1,uncharacterized LOC119649092,Sex-dimorphic only,-1.2172344,9.6305008296313e-05,Male-biased,0.060478565,0.962422415,Unknown,Unknown,NA,TRUE,AAL40004.1| SD10415p,AAL40004.1| SD10415p,4.71e-13,30.5,55.5,68.9,uncharacterized LOC119649092
Antenna,XM_038049787.1,uncharacterized LOC119648195,Sex-dimorphic only,-1.213409983,0.00016659,Male-biased,-0.652886842,0.008819606,Unknown,Unknown,NA,FALSE,,No significant Dmel hit,,,,,uncharacterized LOC119648195
Antenna,XM_038049786.1,uncharacterized LOC119648195,Sex-dimorphic only,-1.20735441,0.000175344,Male-biased,-0.65834569,0.007827135,Unknown,Unknown,NA,FALSE,,No significant Dmel hit,,,,,uncharacterized LOC119648195
Antenna,XM_038066411.1,uncharacterized LOC119658738,Sex-dimorphic only,1.200594008,7.8763316696979e-05,Female-biased,-0.086775657,0.928302962,Unknown,Unknown,NA,TRUE,AAZ78578.1| CHKov1,AAZ78578.1| CHKov1,1.80e-86,34.7,84.5,272.3,uncharacterized LOC119658738
Antenna,XM_038066412.1,uncharacterized LOC119658738,Sex-dimorphic only,1.200594008,7.8763316696979e-05,Female-biased,-0.086775657,0.928302962,Unknown,Unknown,NA,TRUE,AAZ78578.1| CHKov1,AAZ78578.1| CHKov1,1.11e-86,34.7,87.3,272.3,uncharacterized LOC119658738
Antenna,XM_038055162.1,uncharacterized LOC119651531,Sex-dimorphic only,-1.197078775,9.8781446742716e-13,Male-biased,-0.359205835,0.091217854,Unknown,Unknown,NA,TRUE,NP_001262553.1| uncharacterized protein Dmel_CG9297,"NP_001262553.1| uncharacterized protein Dmel_CG9297, isoform C",0.00e+00,77.4,39.1,797.3,uncharacterized LOC119651531
Antenna,XM_038066410.1,uncharacterized LOC119658738,Sex-dimorphic only,1.196996932,7.72457617301095e-05,Female-biased,-0.086894743,0.928302962,Unknown,Unknown,NA,TRUE,AAZ78578.1| CHKov1,AAZ78578.1| CHKov1,1.90e-86,34.7,84,272.3,uncharacterized LOC119658738
Antenna,XM_038069685.1,proteoglycan 4,Sex-and-mating-regulated: direction reinforced by mating,-1.189135868,3.43015439219553e-15,Male-biased,-2.423025501,2.89194629587374e-41,Unknown,Unknown,NA,TRUE,NP_001284733.1| uncharacterized protein Dmel_CG3777,"NP_001284733.1| uncharacterized protein Dmel_CG3777, isoform D",1.14e-86,36.9,53.2,304.7,proteoglycan 4
Antenna,XM_038069684.1,proteoglycan 4,Sex-and-mating-regulated: direction reinforced by mating,-1.189020953,3.43015439219553e-15,Male-biased,-2.423140443,2.89194629587374e-41,Unknown,Unknown,NA,TRUE,NP_001284733.1| uncharacterized protein Dmel_CG3777,"NP_001284733.1| uncharacterized protein Dmel_CG3777, isoform D",3.12e-87,36.9,62.8,304.7,proteoglycan 4
Antenna,XM_038050979.1,uncharacterized LOC119649024,Sex-and-mating-regulated: direction reinforced by mating,-1.187548018,0.000927711,Male-biased,-2.510627993,7.04757738021966e-30,Unknown,Unknown,NA,TRUE,ABC86453.1| IP05345p,"ABC86453.1| IP05345p, partial",1.36e-08,38.4,62.9,51.6,uncharacterized LOC119649024
Antenna,XM_038061097.1,uncharacterized LOC119655278,Sex-dimorphic only,-1.182408,6.47114898078958e-05,Male-biased,0.255087035,0.708850064,Unknown,Unknown,NA,TRUE,NP_001188920.1| uncharacterized protein Dmel_CG42808,NP_001188920.1| uncharacterized protein Dmel_CG42808,2.26e-41,52,48.8,142.5,uncharacterized LOC119655278
Antenna,XM_038064061.1,transcription factor Sp9,Sex-dimorphic only,1.173088856,0.000584125,Female-biased,-0.095917864,0.884763839,Unknown,Unknown,NA,TRUE,NP_001259388.1| Sp1,"NP_001259388.1| Sp1, isoform F",0.00e+00,70.7,25.3,610.9,transcription factor Sp9
Antenna,XM_038064062.1,transcription factor Sp9,Sex-dimorphic only,1.173088856,0.000584125,Female-biased,-0.095917864,0.884763839,Unknown,Unknown,NA,TRUE,NP_001096927.2| Sp1,"NP_001096927.2| Sp1, isoform D",1.89e-179,66.4,24.3,556.2,transcription factor Sp9
Antenna,XM_038064063.1,transcription factor Sp9,Sex-dimorphic only,1.173088856,0.000584125,Female-biased,-0.095917864,0.884763839,Unknown,Unknown,NA,TRUE,NP_001096927.2| Sp1,"NP_001096927.2| Sp1, isoform D",9.26e-168,63.9,23.9,525,transcription factor Sp9
Antenna,XM_038069085.1,uncharacterized protein ZK1073.1,Sex-dimorphic only,-1.171233984,0.000200386,Male-biased,0.064612272,0.961136226,Unknown,Unknown,NA,TRUE,AEA30994.1| RH63159p,AEA30994.1| RH63159p,0.00e+00,79.1,23.1,615.9,uncharacterized protein ZK1073.1
Antenna,XM_038069086.1,uncharacterized protein ZK1073.1,Sex-dimorphic only,-1.171233984,0.000200386,Male-biased,0.064612272,0.961136226,Unknown,Unknown,NA,TRUE,AEA30994.1| RH63159p,AEA30994.1| RH63159p,0.00e+00,79.1,23.1,615.9,uncharacterized protein ZK1073.1
Antenna,XM_038069087.1,uncharacterized protein ZK1073.1,Sex-dimorphic only,-1.171233984,0.000200386,Male-biased,0.064612272,0.961136226,Unknown,Unknown,NA,TRUE,AEA30994.1| RH63159p,AEA30994.1| RH63159p,0.00e+00,78.8,23,607.1,uncharacterized protein ZK1073.1
Antenna,XM_038069089.1,uncharacterized protein ZK1073.1,Sex-dimorphic only,-1.171233984,0.000200386,Male-biased,0.064612272,0.961136226,Unknown,Unknown,NA,TRUE,NP_001163517.1| uncharacterized protein Dmel_CG2082,"NP_001163517.1| uncharacterized protein Dmel_CG2082, isoform K",0.00e+00,79.1,22.7,599.7,uncharacterized protein ZK1073.1
Antenna,XM_038069090.1,uncharacterized protein ZK1073.1,Sex-dimorphic only,-1.171233984,0.000200386,Male-biased,0.064612272,0.961136226,Unknown,Unknown,NA,TRUE,NP_001163516.1| uncharacterized protein Dmel_CG2082,"NP_001163516.1| uncharacterized protein Dmel_CG2082, isoform J",0.00e+00,79.5,22.6,596.3,uncharacterized protein ZK1073.1
Antenna,XM_038049925.1,cuticle protein-like,Sex-and-mating-regulated: direction reinforced by mating,-1.160718921,1.10157326134047e-06,Male-biased,-2.513415863,6.69016616879834e-32,Unknown,Unknown,NA,TRUE,NP_648870.1| uncharacterized protein Dmel_CG13042,NP_648870.1| uncharacterized protein Dmel_CG13042,8.48e-25,54.7,37.5,95.9,cuticle protein-like
Antenna,XM_038064950.1,uncharacterized LOC119657833,Sex-dimorphic only,1.152244704,0.000208641,Female-biased,0.120383117,0.928302962,Unknown,Unknown,NA,TRUE,NP_001097771.1| uncharacterized protein Dmel_CG34309,NP_001097771.1| uncharacterized protein Dmel_CG34309,1.72e-23,46.5,45,90.9,uncharacterized LOC119657833
Antenna,XM_038064064.1,uncharacterized LOC119657247,Sex-dimorphic only,-1.151277206,0.000123949,Male-biased,-0.744300112,0.038370442,Unknown,Unknown,NA,TRUE,NP_569925.2| uncharacterized protein Dmel_CG14795,NP_569925.2| uncharacterized protein Dmel_CG14795,5.25e-27,61.1,39.6,100.5,uncharacterized LOC119657247
Antenna,XM_038064065.1,uncharacterized LOC119657247,Sex-dimorphic only,-1.148337151,0.000127904,Male-biased,-0.752494819,0.035393752,Unknown,Unknown,NA,TRUE,NP_569925.2| uncharacterized protein Dmel_CG14795,NP_569925.2| uncharacterized protein Dmel_CG14795,1.52e-26,61.1,33.2,100.5,uncharacterized LOC119657247
Antenna,XM_038064066.1,uncharacterized LOC119657247,Sex-dimorphic only,-1.148337151,0.000127904,Male-biased,-0.752494819,0.035393752,Unknown,Unknown,NA,TRUE,NP_569925.2| uncharacterized protein Dmel_CG14795,NP_569925.2| uncharacterized protein Dmel_CG14795,1.52e-26,61.1,33.1,100.5,uncharacterized LOC119657247
Antenna,XM_038064067.1,uncharacterized LOC119657247,Sex-dimorphic only,-1.148337151,0.000127904,Male-biased,-0.752494819,0.035393752,Unknown,Unknown,NA,TRUE,NP_569925.2| uncharacterized protein Dmel_CG14795,NP_569925.2| uncharacterized protein Dmel_CG14795,1.41e-26,61.1,33.5,100.5,uncharacterized LOC119657247
Antenna,XM_038065842.1,protein Tob1,Sex-dimorphic only,1.138336153,7.8335171655897e-06,Female-biased,-0.152055672,0.765382149,Unknown,Unknown,NA,TRUE,NP_001162771.1| transducer of ERBB2,"NP_001162771.1| transducer of ERBB2, isoform C",6.21e-135,51,22.4,433.3,protein Tob1
Antenna,XM_038065843.1,protein Tob1,Sex-dimorphic only,1.138336153,7.8335171655897e-06,Female-biased,-0.152055672,0.765382149,Unknown,Unknown,NA,TRUE,NP_001162771.1| transducer of ERBB2,"NP_001162771.1| transducer of ERBB2, isoform C",5.65e-135,51,22.6,433.3,protein Tob1
Antenna,XM_038070421.1,uncharacterized LOC119661201,Sex-dimorphic only,-1.130126015,0.000176816,Male-biased,0.032321377,0.971493225,Unknown,Unknown,NA,TRUE,NP_001260046.1| schlaff,"NP_001260046.1| schlaff, isoform B",7.22e-145,84.5,50,414.1,uncharacterized LOC119661201
Antenna,XM_038070422.1,uncharacterized LOC119661201,Sex-dimorphic only,-1.129909226,0.000177032,Male-biased,0.032254099,0.971493225,Unknown,Unknown,NA,TRUE,NP_001260046.1| schlaff,"NP_001260046.1| schlaff, isoform B",2.61e-145,84.5,50.1,415.2,uncharacterized LOC119661201
Antenna,XM_038063880.1,major royal jelly protein 1-like,Sex-dimorphic only,-1.120993515,0.000120573,Male-biased,0.592418035,0.025742621,Unknown,Unknown,NA,TRUE,ACX30039.1| MIP14536p,"ACX30039.1| MIP14536p, partial",3.32e-119,42.6,68.1,362.8,major royal jelly protein 1-like
Antenna,XM_038063884.1,major royal jelly protein 1-like,Sex-dimorphic only,-1.120993515,0.000120573,Male-biased,0.592418035,0.025742621,Unknown,Unknown,NA,TRUE,ACX30039.1| MIP14536p,"ACX30039.1| MIP14536p, partial",2.16e-121,44.3,67.7,367.9,major royal jelly protein 1-like
Antenna,XM_038063882.1,major royal jelly protein 1-like,Sex-dimorphic only,-1.117889912,0.000164165,Male-biased,0.586979391,0.026244121,Unknown,Unknown,NA,TRUE,ACX30039.1| MIP14536p,"ACX30039.1| MIP14536p, partial",6.28e-120,42.6,74.7,362.8,major royal jelly protein 1-like
Antenna,XM_038063883.1,major royal jelly protein 1-like,Sex-dimorphic only,-1.117889912,0.000164165,Male-biased,0.586979391,0.026244121,Unknown,Unknown,NA,TRUE,NP_650289.2| yellow-e2,NP_650289.2| yellow-e2,2.10e-120,42.6,75.9,363.2,major royal jelly protein 1-like
Antenna,XM_038063894.1,phosphatidylglycerol--prolipoprotein diacylglyceryl transferase,Sex-dimorphic only,-1.101340127,1.8318289322257e-08,Male-biased,0.339770514,0.317724661,Unknown,Unknown,NA,TRUE,NP_001261386.1| uncharacterized protein Dmel_CG14984,"NP_001261386.1| uncharacterized protein Dmel_CG14984, isoform C",9.08e-09,47.5,19.3,53.5,phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
Antenna,XM_038064768.1,uncharacterized LOC119657724,Sex-dimorphic only,1.086597388,8.67596285701929e-06,Female-biased,0.220720847,0.560243303,Unknown,Unknown,NA,TRUE,NP_569859.1| uncharacterized protein Dmel_CG13360,NP_569859.1| uncharacterized protein Dmel_CG13360,1.10e-107,42.8,74.4,329.3,uncharacterized LOC119657724
Antenna,XM_038064780.1,glutathione S-transferase theta-3,Sex-dimorphic only,-1.077464637,3.29022657440044e-05,Male-biased,0.362395513,0.28755493,Unknown,Unknown,NA,TRUE,NP_572886.2| glutathione S transferase T4,NP_572886.2| glutathione S transferase T4,9.42e-85,53.1,49.1,260.8,glutathione S-transferase theta-3
Antenna,XM_038057906.1,farnesol dehydrogenase-like,Sex-dimorphic only,1.077028792,1.10954771201109e-05,Female-biased,-0.14589423,0.876179976,Unknown,Unknown,NA,TRUE,NP_572746.1| uncharacterized protein Dmel_CG9360,NP_572746.1| uncharacterized protein Dmel_CG9360,9.56e-86,45.5,85.8,260,farnesol dehydrogenase-like
Antenna,XM_038054477.1,"protein Skeletor, isoforms B/C",Sex-dimorphic only,-1.072813336,0.000904136,Male-biased,-0.424692548,0.020199344,Unknown,Unknown,NA,TRUE,NP_001247027.1| skeletor,"NP_001247027.1| skeletor, isoform E",0.00e+00,71.5,51.8,1197.2,"protein Skeletor, isoforms B/C"
Antenna,XM_038054478.1,"protein Skeletor, isoforms B/C",Sex-dimorphic only,-1.072813336,0.000904136,Male-biased,-0.424692548,0.020199344,Unknown,Unknown,NA,TRUE,NP_001247027.1| skeletor,"NP_001247027.1| skeletor, isoform E",0.00e+00,71.5,52.6,1197.2,"protein Skeletor, isoforms B/C"
Antenna,XM_038052098.1,uncharacterized LOC119649793,Sex-dimorphic only,-1.051072582,0.000126066,Male-biased,0.067809748,0.961136226,Unknown,Unknown,NA,TRUE,AAY55013.1| IP06786p,"AAY55013.1| IP06786p, partial",8.91e-09,24.5,66.2,54.3,uncharacterized LOC119649793
Antenna,XM_038056676.1,uncharacterized LOC119652493,Sex-dimorphic only,-1.046069648,0.000175801,Male-biased,-0.606558551,0.077858373,Unknown,Unknown,NA,TRUE,NP_001262929.1| Uracil-DNA degrading factor,"NP_001262929.1| Uracil-DNA degrading factor, isoform B",2.75e-133,68.3,68.7,386,uncharacterized LOC119652493
Antenna,XM_038054572.1,"glycine-rich RNA-binding protein 3, mitochondrial",Sex-dimorphic only,-1.027505039,1.16366878651024e-06,Male-biased,0.607961738,0.000249441,Unknown,Unknown,NA,TRUE,NP_001163014.1| uncharacterized protein Dmel_CG17549,"NP_001163014.1| uncharacterized protein Dmel_CG17549, isoform D",2.06e-06,42.7,16.6,50.4,"glycine-rich RNA-binding protein 3, mitochondrial"
Antenna,XM_038054573.1,"glycine-rich RNA-binding protein 3, mitochondrial",Sex-dimorphic only,-1.027505039,1.16366878651024e-06,Male-biased,0.607961738,0.000249441,Unknown,Unknown,NA,TRUE,NP_001163014.1| uncharacterized protein Dmel_CG17549,"NP_001163014.1| uncharacterized protein Dmel_CG17549, isoform D",2.85e-06,42.7,17.4,50.1,"glycine-rich RNA-binding protein 3, mitochondrial"
Antenna,XM_038054574.1,"glycine-rich RNA-binding protein 3, mitochondrial",Sex-dimorphic only,-1.027505039,1.16366878651024e-06,Male-biased,0.607961738,0.000249441,Unknown,Unknown,NA,TRUE,NP_001163014.1| uncharacterized protein Dmel_CG17549,"NP_001163014.1| uncharacterized protein Dmel_CG17549, isoform D",2.83e-06,42.7,17.5,50.1,"glycine-rich RNA-binding protein 3, mitochondrial"
Antenna,XM_038054575.1,"glycine-rich RNA-binding protein 3, mitochondrial",Sex-dimorphic only,-1.027505039,1.16366878651024e-06,Male-biased,0.607961738,0.000249441,Unknown,Unknown,NA,TRUE,NP_001163014.1| uncharacterized protein Dmel_CG17549,"NP_001163014.1| uncharacterized protein Dmel_CG17549, isoform D",2.09e-06,42.7,16.8,50.4,"glycine-rich RNA-binding protein 3, mitochondrial"
Antenna,XM_038054576.1,"glycine-rich RNA-binding protein 3, mitochondrial",Sex-dimorphic only,-1.026461391,1.28875239782303e-06,Male-biased,0.607764336,0.000249441,Unknown,Unknown,NA,TRUE,NP_001163014.1| uncharacterized protein Dmel_CG17549,"NP_001163014.1| uncharacterized protein Dmel_CG17549, isoform D",2.59e-06,42.7,19.2,49.7,"glycine-rich RNA-binding protein 3, mitochondrial"
Antenna,XM_038054571.1,"glycine-rich RNA-binding protein 3, mitochondrial",Sex-dimorphic only,-1.025014974,1.23708147107997e-06,Male-biased,0.609173269,0.000236107,Unknown,Unknown,NA,TRUE,NP_001163014.1| uncharacterized protein Dmel_CG17549,"NP_001163014.1| uncharacterized protein Dmel_CG17549, isoform D",3.05e-06,42.7,16.4,50.1,"glycine-rich RNA-binding protein 3, mitochondrial"
Antenna,XM_038054578.1,"glycine-rich RNA-binding protein 3, mitochondrial",Sex-dimorphic only,-1.025014974,1.23708147107997e-06,Male-biased,0.609173269,0.000236107,Unknown,Unknown,NA,TRUE,NP_001260571.1| uncharacterized protein Dmel_CG17549,"NP_001260571.1| uncharacterized protein Dmel_CG17549, isoform E",2.12e-06,42.7,17.3,50.1,"glycine-rich RNA-binding protein 3, mitochondrial"
Antenna,XM_038069524.1,uncharacterized LOC119660759,Sex-dimorphic only,-1.009393616,0.000281591,Male-biased,-0.380909848,0.143600148,Unknown,Unknown,NA,TRUE,NP_649357.1| uncharacterized protein Dmel_CG14567,NP_649357.1| uncharacterized protein Dmel_CG14567,8.24e-18,31.2,26.2,83.2,uncharacterized LOC119660759
Antenna,XM_038069525.1,uncharacterized LOC119660759,Sex-dimorphic only,-1.009393616,0.000281591,Male-biased,-0.380909848,0.143600148,Unknown,Unknown,NA,TRUE,NP_649357.1| uncharacterized protein Dmel_CG14567,NP_649357.1| uncharacterized protein Dmel_CG14567,3.67e-17,31.3,33.5,80.9,uncharacterized LOC119660759
Antenna,XM_038071257.1,A-kinase anchor protein 200,Sex-dimorphic only,-1.000779673,6.47114898078958e-05,Male-biased,0.032752808,0.976889185,Unknown,Unknown,NA,TRUE,AAD47200.1| A kinase anchor protein 200,AAD47200.1| A kinase anchor protein 200,2.05e-13,43.9,11.7,76.3,A-kinase anchor protein 200
Antenna,XM_038047394.1,flocculation protein FLO11-like,Mating-regulated only,-0.941083211,0.007108912,NA,-1.884580055,4.913478907341e-17,Unknown,Unknown,NA,FALSE,,No significant Dmel hit,,,,,flocculation protein FLO11-like
Antenna,XM_038048445.1,collagen alpha-1(I) chain-like,Mating-regulated only,-0.747720916,0.131475092,NA,-1.221836693,1.42882931988973e-05,Unknown,Unknown,NA,TRUE,NP_647902.1| uncharacterized protein Dmel_CG15021,NP_647902.1| uncharacterized protein Dmel_CG15021,2.48e-06,81.5,2.1,52.4,collagen alpha-1(I) chain-like
Antenna,XM_038048811.1,nuclear pore complex protein Nup58-like,Mating-regulated only,-0.06026112,0.990200475,NA,-9.602793931,2.12395686482489e-11,Unknown,Unknown,NA,FALSE,,No significant Dmel hit,,,,,nuclear pore complex protein Nup58-like
Antenna,XM_038050002.1,cuticle protein 12.5-like,Mating-regulated only,-0.63771766,0.311301881,NA,-1.681367816,8.59821663068692e-15,Unknown,Unknown,NA,FALSE,,No significant Dmel hit,,,,,cuticle protein 12.5-like
Antenna,XM_038050179.1,mucin-2-like,Mating-regulated only,-0.45717382,0.454608384,NA,-1.882869232,3.32355237343976e-15,Unknown,Unknown,NA,FALSE,,No significant Dmel hit,,,,,mucin-2-like
Antenna,XM_038050212.1,cuticle protein 16.5-like,Mating-regulated only,-0.348034763,0.802534748,NA,-3.11674563,1.96854772500801e-06,Unknown,Unknown,NA,TRUE,AAR82789.1| LD11394p,"AAR82789.1| LD11394p, partial",2.18e-10,31,73.1,59.7,cuticle protein 16.5-like
Antenna,XM_038050860.1,uncharacterized LOC119648944,Mating-regulated only,0.147529295,0.833267016,NA,-3.240511876,5.52512788358128e-07,Unknown,Unknown,NA,FALSE,,No significant Dmel hit,,,,,uncharacterized LOC119648944
Antenna,XM_038050989.1,uncharacterized LOC119649032,Mating-regulated only,-0.348579943,0.637518804,NA,-2.853575848,2.32529702112435e-18,Unknown,Unknown,NA,FALSE,,No significant Dmel hit,,,,,uncharacterized LOC119649032
Antenna,XM_038051031.1,larval cuticle protein F1-like,Mating-regulated only,2.522175142,0.487653241,NA,-4.803426607,0.000507522,Unknown,Unknown,NA,FALSE,,No significant Dmel hit,,,,,larval cuticle protein F1-like
Antenna,XM_038051204.1,cuticle protein 19.8-like,Mating-regulated only,-1.706233408,0.09414909,NA,-3.342643199,2.18168026897877e-15,Unknown,Unknown,NA,FALSE,,No significant Dmel hit,,,,,cuticle protein 19.8-like
Antenna,XM_038052725.1,putative mediator of RNA polymerase II transcription subunit 12,Mating-regulated only,-0.98622072,0.003745642,NA,-1.039535633,9.77076280362656e-07,Unknown,Unknown,NA,FALSE,,No significant Dmel hit,,,,,putative mediator of RNA polymerase II transcription subunit 12
Antenna,XM_038054283.1,actin cytoskeleton-regulatory complex protein PAN1-like,Mating-regulated only,-0.886098629,0.004966344,NA,-1.134606055,1.18965974982754e-08,Unknown,Unknown,NA,TRUE,NP_001262789.1| hadley,"NP_001262789.1| hadley, isoform C",3.55e-15,46,10.1,79.3,actin cytoskeleton-regulatory complex protein PAN1-like
Antenna,XM_038054285.1,actin cytoskeleton-regulatory complex protein PAN1-like,Mating-regulated only,-0.886098629,0.004966344,NA,-1.134606055,1.18965974982754e-08,Unknown,Unknown,NA,TRUE,NP_001262789.1| hadley,"NP_001262789.1| hadley, isoform C",3.08e-15,47.6,9.8,79.3,actin cytoskeleton-regulatory complex protein PAN1-like
Antenna,XM_038054286.1,actin cytoskeleton-regulatory complex protein PAN1-like,Mating-regulated only,-0.886098629,0.004966344,NA,-1.134606055,1.18965974982754e-08,Unknown,Unknown,NA,TRUE,NP_001262789.1| hadley,"NP_001262789.1| hadley, isoform C",2.65e-15,47.6,10,79.7,actin cytoskeleton-regulatory complex protein PAN1-like
Antenna,XM_038054808.1,putative defense protein 2,Mating-regulated only,-1.084224938,0.124954024,NA,-1.855301735,2.56114097051183e-05,Unknown,Unknown,NA,TRUE,AAY85069.1| IP04502p,"AAY85069.1| IP04502p, partial",2.80e-06,25,58.8,47.8,putative defense protein 2
Antenna,XM_038054810.1,putative defense protein 2,Mating-regulated only,-1.084224938,0.124954024,NA,-1.855301735,2.56114097051183e-05,Unknown,Unknown,NA,FALSE,,No significant Dmel hit,,,,,putative defense protein 2
Antenna,XM_038056240.1,clavesin-1-like,Mating-regulated only,-0.812632821,0.000510077,NA,-1.171059888,6.21497279137668e-12,Unknown,Unknown,NA,TRUE,NP_001260581.1| uncharacterized protein Dmel_CG10026,"NP_001260581.1| uncharacterized protein Dmel_CG10026, isoform D",8.89e-124,57.2,48.4,367.5,clavesin-1-like
Antenna,XM_038056303.1,uncharacterized LOC119652301,Mating-regulated only,-0.100655499,0.884687578,NA,1.398128571,1.0836796780111e-17,Unknown,Unknown,NA,FALSE,,No significant Dmel hit,,,,,uncharacterized LOC119652301
Antenna,XM_038056688.1,larval cuticle protein F1-like,Mating-regulated only,-0.575617566,0.091670387,NA,-4.804976617,3.81288743803982e-114,Unknown,Unknown,NA,FALSE,,No significant Dmel hit,,,,,larval cuticle protein F1-like
Antenna,XM_038056689.1,A-kinase anchor protein 14-like,Mating-regulated only,-0.449655384,0.488017853,NA,-4.648071528,6.09212721882074e-57,Unknown,Unknown,NA,FALSE,,No significant Dmel hit,,,,,A-kinase anchor protein 14-like
Antenna,XM_038056690.1,A-kinase anchor protein 14-like,Mating-regulated only,-0.412666477,0.428939918,NA,-4.416004377,2.3850859114834e-148,Unknown,Unknown,NA,FALSE,,No significant Dmel hit,,,,,A-kinase anchor protein 14-like
Antenna,XM_038056692.1,A-kinase anchor protein 14-like,Mating-regulated only,-0.519320736,0.150599233,NA,-4.45588937,1.26110621078724e-162,Unknown,Unknown,NA,FALSE,,No significant Dmel hit,,,,,A-kinase anchor protein 14-like
Antenna,XM_038056693.1,uncharacterized LOC119652504,Mating-regulated only,-0.914721547,0.080611777,NA,-3.364404501,6.90110068324709e-25,Unknown,Unknown,NA,FALSE,,No significant Dmel hit,,,,,uncharacterized LOC119652504
Antenna,XM_038056933.1,integumentary mucin A.1-like,Mating-regulated only,-0.343164648,0.584706793,NA,-2.234743339,2.05353037803666e-21,Unknown,Unknown,NA,FALSE,,No significant Dmel hit,,,,,integumentary mucin A.1-like
Antenna,XM_038061713.1,mediator of RNA polymerase II transcription subunit 15,Mating-regulated only,-0.793151348,0.217931025,NA,-1.399741295,2.59049293606465e-16,Unknown,Unknown,NA,TRUE,NP_001284767.1| uncharacterized protein Dmel_CG11380,"NP_001284767.1| uncharacterized protein Dmel_CG11380, isoform B",5.44e-21,42,12.6,99.4,mediator of RNA polymerase II transcription subunit 15
Antenna,XM_038063175.1,uncharacterized LOC119656689,Mating-regulated only,1.381412271,0.131913028,NA,1.152958624,2.69897301428974e-05,Unknown,Unknown,NA,FALSE,,No significant Dmel hit,,,,,uncharacterized LOC119656689
Antenna,XM_038064773.1,uncharacterized LOC119657731,Mating-regulated only,-0.82579626,0.032431452,NA,-1.221668293,8.49825194939639e-08,Unknown,Unknown,NA,TRUE,NP_001263130.1| uncharacterized protein Dmel_CG15544,"NP_001263130.1| uncharacterized protein Dmel_CG15544, isoform B",2.87e-41,34.3,23.2,166.4,uncharacterized LOC119657731
Antenna,XM_038065212.1,uncharacterized LOC119657994,Mating-regulated only,-0.962319784,0.004323085,NA,-2.040463217,8.60728782957857e-15,Unknown,Unknown,NA,TRUE,NP_573137.1| uncharacterized protein Dmel_CG9782,NP_573137.1| uncharacterized protein Dmel_CG9782,4.31e-12,36,56.3,65.1,uncharacterized LOC119657994
Antenna,XM_038065298.1,uncharacterized LOC119658053,Mating-regulated only,-0.377554978,0.224908508,NA,1.069108621,3.44143638721858e-12,Unknown,Unknown,NA,TRUE,NP_572433.1| uncharacterized protein Dmel_CG2233,NP_572433.1| uncharacterized protein Dmel_CG2233,9.32e-17,22,85.4,82.8,uncharacterized LOC119658053
Antenna,XM_038066619.1,translation initiation factor IF-2,Mating-regulated only,-1.065708102,0.003885068,NA,-1.576539649,3.00477169213264e-24,Unknown,Unknown,NA,TRUE,AAQ23534.1| RH40749p,AAQ23534.1| RH40749p,3.29e-07,48.3,13.4,53.1,translation initiation factor IF-2
Antenna,XM_038067278.1,uncharacterized LOC119659273,Mating-regulated only,-0.999696175,0.03386604,NA,-2.227988978,1.41815712854499e-11,Unknown,Unknown,NA,TRUE,NP_649785.1| uncharacterized protein Dmel_CG11693,"NP_649785.1| uncharacterized protein Dmel_CG11693, isoform A",5.11e-34,58.1,59.9,127.5,uncharacterized LOC119659273
Antenna,XM_038069824.1,uncharacterized LOC119660870,Mating-regulated only,-1.705740871,0.396136762,NA,1.24787637,0.000427576,Unknown,Unknown,NA,FALSE,,No significant Dmel hit,,,,,uncharacterized LOC119660870
Antenna,XM_038070023.1,mucin-2,Mating-regulated only,-1.215921088,0.00621714,NA,-1.377650241,5.12163928666114e-11,Unknown,Unknown,NA,FALSE,,BLAST error: <urlopen error [Errno 101] Network is unreachable>,,,,,mucin-2
Antenna,XM_038070024.1,mucin-2,Mating-regulated only,-1.215921088,0.00621714,NA,-1.377650241,5.12163928666114e-11,Unknown,Unknown,NA,FALSE,,BLAST error: <urlopen error [Errno 101] Network is unreachable>,,,,,mucin-2
Antenna,XM_038070461.1,adult cuticle protein 1-like,Mating-regulated only,-0.32970468,0.861031046,NA,-2.076208587,6.78014003286019e-06,Unknown,Unknown,NA,TRUE,AAM29629.1| RH70420p,AAM29629.1| RH70420p,7.74e-18,45,66.1,77.4,adult cuticle protein 1-like
