,OR112,OR36,OR29,OR59,OR38,OR94,OR44,OR45,OR34,OR25,OR20,OR21,OR28,OR40,OR49,OR19,OR35,OR43,OR32,OR30,OR23,OR18,OR120,OR24,OR26,OR27,OR37,OR48,OR41,OR42,OR53,OR39,OR31,OR33,OR17,OR14,OR15,OR13,OR16,OR3,OR4,OR6,OR10,OR11,OR12,OR8,OR9,OR5,OR7,OR90,OR54,OR58,OR87,OR57,OR55,OR56,OR80,OR76,OR86,OR118,OR160,OR73,OR114,OR83,OR78,OR147,OR157,OR69,OR70,OR52,OR79,OR51,OR64,OR98,OR62,OR65,OR75,OR50,OR93,OR67,OR77,OR109,OR63,OR88,OR60,OR61,OR104,OR89,OR116,OR68,OR71,OR96,OR95,OR105,OR113,OR91,OR81,OR85,OR97,OR129,OR130,OR128,OR132,OR111,OR92,OR102,OR106,OR108,OR110,OR82,OR66,OR117,OR72,OR84,OR119,OR175,OR173,OR174,OR172,OR168,OR171,OR176,OR169,OR170,OR166,OR167,OR127,OR124,OR125,OR201,OR199,OR200,OR197,OR198,ORco,ORco2,OR179,OR180,OR165,OR159,OR192,OR193,OR194,OR178,OR190,OR164,OR163,OR191,OR145,OR177,OR162,OR146,OR195,OR158,OR137,OR136,OR133,OR134,OR135,OR138,OR139,OR141,OR142,OR144,OR140,OR143,OR74,OR123,OR186,OR182,OR188,OR183,OR184,OR187,OR181,OR185,OR189,OR101,OR99,OR100,OR103,OR115,OR161,OR196,OR155,OR156,OR148,OR150,OR151,OR153,OR152,OR154
OR96,0.0,44.414,43.299,41.975,40.519,35.789,42.294,42.294,43.636,40.0,47.5,40.496,42.338,38.442,28.382,41.299,38.542,42.126,41.558,43.117,42.338,41.039,40.26,42.078,42.597,42.597,42.597,29.231,32.376,32.637,26.776,31.593,29.921,33.943,32.723,30.628,30.628,31.332,30.743,32.898,32.898,32.115,32.115,28.982,28.982,32.376,29.581,33.159,32.115,10.698,21.244,21.244,20.38,23.438,23.958,23.438,23.438,25.455,20.779,22.539,18.684,21.762,21.762,21.244,22.021,10.4,0.0,22.28,23.316,21.558,39.481,22.078,20.779,5.946,21.039,21.039,15.891,23.377,17.678,20.519,14.729,6.486,22.338,11.055,17.867,23.117,37.302,42.706,41.645,55.026,53.826,,86.29,84.946,84.659,75.543,75.135,76.757,72.162,55.981,55.981,57.371,46.948,60.705,60.0,59.932,56.587,57.568,56.442,42.744,44.444,45.395,44.444,48.303,42.138,26.804,28.463,28.857,23.308,24.812,23.058,29.231,25.945,25.622,26.448,25.189,24.877,26.829,27.007,24.051,27.178,26.481,32.117,30.9,23.76,23.76,32.911,32.405,28.283,27.527,30.693,30.244,45.918,30.693,27.919,31.605,40.704,32.099,32.877,29.825,43.75,31.486,46.763,26.484,30.636,35.381,31.45,32.512,33.559,39.106,39.106,33.088,30.514,43.919,32.266,44.898,39.453,24.479,26.298,26.941,22.912,25.799,25.111,26.403,22.831,20.181,38.462,32.08,29.851,34.406,33.673,37.31,37.783,30.548,34.892,42.424,31.298,31.552,30.789,31.043,30.025,35.227
OR95,0.0,44.262,42.894,41.736,41.406,32.632,39.427,39.427,41.927,39.063,44.0,38.567,40.365,36.719,27.926,40.885,37.859,40.551,39.844,40.885,40.885,39.844,37.662,41.146,41.146,41.146,41.146,29.231,32.984,32.199,27.322,32.199,27.559,32.461,31.937,30.628,30.366,30.366,29.73,33.508,33.508,32.461,32.461,28.272,28.272,31.675,29.396,32.984,31.675,8.372,21.039,21.039,21.467,23.958,23.958,24.219,24.219,26.042,20.052,22.857,20.317,21.299,21.818,21.558,21.818,10.695,0.0,22.338,22.857,22.917,40.365,23.438,22.135,6.486,21.615,21.615,17.054,23.177,19.048,21.354,15.116,7.568,22.656,10.553,17.579,23.958,38.889,41.114,41.114,54.497,53.439,86.29,,89.516,92.045,77.174,79.189,77.838,72.703,55.024,55.024,58.964,47.418,60.163,61.518,61.986,56.587,58.537,57.362,40.897,44.709,46.053,45.889,47.382,42.902,26.873,29.04,30.0,24.121,25.628,24.121,29.231,26.768,26.434,27.273,26.768,26.847,26.895,26.341,24.947,28.571,27.875,32.927,32.195,25.052,25.052,33.756,33.249,30.127,28.017,30.273,29.829,44.898,30.273,27.481,29.455,40.201,31.683,34.247,30.653,46.354,31.99,46.043,27.689,33.913,36.7,33.251,34.321,35.932,41.341,41.341,33.661,31.42,41.216,33.333,42.857,38.824,21.99,27.682,28.375,23.923,27.918,27.171,28.383,24.485,22.273,30.769,31.83,30.597,34.653,34.184,37.563,35.606,33.159,37.05,41.667,32.316,31.807,31.807,32.061,30.534,37.121
OR105,0.0,41.53,41.344,39.256,38.542,34.737,37.993,37.993,41.146,37.5,44.5,37.741,38.542,35.417,27.128,38.281,35.509,38.583,39.063,39.323,39.583,38.542,37.662,39.063,39.844,39.844,39.844,29.744,31.152,30.628,26.23,31.414,27.165,31.152,30.89,28.796,29.058,29.843,29.054,32.199,32.199,32.461,32.461,28.01,28.01,31.414,28.346,32.984,31.937,8.372,22.078,22.078,20.924,23.958,23.958,23.438,23.438,24.479,21.354,23.636,19.525,21.558,22.078,20.779,21.818,10.428,0.0,22.597,23.377,21.875,39.844,22.917,22.135,5.946,20.573,20.573,15.504,22.396,18.254,20.573,14.341,7.027,22.135,11.055,18.156,22.396,41.27,40.849,40.318,53.968,52.646,84.946,89.516,,100.0,75.543,75.946,76.216,72.162,55.502,55.502,57.769,48.357,62.331,61.518,60.616,57.784,59.079,59.202,41.425,45.238,47.368,45.358,45.288,43.533,26.357,28.535,29.143,24.121,25.628,24.121,29.231,27.525,27.182,27.02,26.515,25.616,24.45,24.39,24.101,27.178,26.829,32.439,31.22,25.052,25.052,32.487,31.726,29.114,26.94,30.769,30.318,47.959,30.273,27.481,30.693,41.206,31.683,35.274,29.648,43.75,30.73,46.043,27.689,32.174,35.222,31.281,32.099,33.22,39.106,39.106,32.432,29.909,40.541,31.605,42.177,37.255,23.56,27.682,27.002,22.727,27.46,26.726,27.393,23.57,21.818,38.462,30.576,29.353,34.158,33.673,38.579,37.121,31.593,37.05,41.667,32.316,30.789,30.534,31.298,29.517,35.985
OR113,0.0,45.679,45.355,50.0,40.556,34.737,43.333,43.333,44.444,42.222,42.778,42.778,42.222,41.667,43.889,43.889,43.889,43.889,44.444,42.778,41.667,43.333,37.662,43.889,42.778,42.778,42.778,25.281,24.719,24.719,24.719,23.596,22.472,20.787,21.348,21.348,20.787,23.596,26.404,26.404,26.404,25.843,25.843,15.73,15.73,23.034,23.034,24.719,25.843,3.371,3.371,3.371,5.056,5.618,5.618,5.618,5.618,5.618,6.18,5.618,5.056,4.494,5.056,4.494,4.494,0.0,0.0,5.618,5.618,6.18,43.82,5.618,5.056,4.494,4.494,4.494,5.056,5.056,5.056,5.056,5.056,5.056,5.618,5.618,5.618,5.618,45.833,50.286,52.0,60.227,57.955,84.659,92.045,100.0,,77.326,78.161,79.885,71.264,62.209,62.209,56.818,53.409,64.535,63.372,62.209,62.209,63.372,63.566,48.0,48.0,47.368,48.276,50.838,42.718,34.831,38.286,38.857,28.814,32.203,28.814,29.231,36.0,35.0,33.714,33.143,34.973,30.601,31.522,24.473,28.054,27.602,45.143,42.286,25.301,25.301,45.143,42.857,35.593,28.926,44.0,44.0,47.959,39.429,39.429,39.773,43.182,42.614,41.618,35.429,43.429,38.418,46.043,37.915,42.735,46.591,39.326,40.113,38.983,38.983,38.983,44.944,41.477,40.541,42.614,42.177,55.263,0.0,32.813,35.233,25.862,35.233,35.233,32.632,33.679,28.571,38.462,37.778,35.326,43.784,43.353,48.603,43.646,36.667,40.678,41.667,41.243,40.113,36.723,40.678,40.678,41.243
OR91,0.0,43.716,42.67,42.562,42.744,41.111,43.066,43.066,44.855,41.425,48.205,41.62,42.216,38.786,29.111,42.48,39.947,44.578,41.953,43.008,41.689,40.633,45.833,42.216,42.48,42.48,42.48,28.421,34.218,32.626,27.528,33.156,28.916,35.013,33.156,31.565,31.034,33.687,29.553,34.748,34.748,33.422,33.422,31.3,31.3,34.218,31.117,33.952,32.626,10.0,22.895,22.895,23.967,26.649,25.858,25.594,25.594,26.649,23.483,23.684,19.519,22.105,22.632,21.053,22.632,10.541,0.0,23.947,25.0,25.33,42.48,25.858,24.274,7.222,24.802,24.802,19.368,26.121,20.643,23.747,16.996,8.333,25.594,12.371,19.591,24.011,39.683,42.4,44.0,55.733,56.0,75.543,77.174,75.543,77.326,,85.326,88.315,83.152,52.153,52.153,57.895,45.933,59.079,59.621,59.589,58.683,58.537,56.269,42.706,44.149,48.0,47.467,46.457,44.795,23.822,27.411,28.161,24.937,25.505,23.99,26.563,25.888,25.564,26.904,26.396,27.407,27.833,28.079,25.214,31.119,30.769,33.496,32.518,25.104,25.104,34.694,35.204,30.964,27.887,30.175,29.73,48.421,31.421,27.621,32.17,42.347,32.668,37.113,32.071,45.789,33.333,48.148,28.637,34.493,37.717,35.661,37.406,40.206,45.143,45.143,33.333,31.098,45.517,34.577,46.528,42.353,29.843,28.223,28.046,23.981,27.126,26.398,29.568,24.138,22.759,25.0,32.995,32.997,35.589,34.694,38.619,38.168,31.842,36.823,43.846,32.398,31.378,31.633,33.163,31.378,37.262
OR81,0.0,42.896,40.104,40.496,41.207,36.957,41.304,41.304,42.257,39.633,47.208,40.278,39.37,36.22,28.686,40.682,39.211,42.629,39.895,39.895,40.42,39.37,40.541,39.895,40.157,40.157,40.157,30.208,35.092,33.245,28.333,34.037,30.677,36.148,33.773,32.454,32.718,32.454,31.741,35.62,35.62,34.037,34.037,30.871,30.871,34.301,31.746,34.037,33.509,9.434,22.775,22.775,22.192,24.934,23.622,23.885,23.885,25.984,23.36,23.298,19.681,23.298,23.298,21.99,23.822,9.677,0.0,24.084,25.131,25.722,42.52,25.722,24.934,8.242,24.934,24.934,18.431,25.459,20.533,22.835,16.078,8.242,25.197,12.245,17.733,22.31,41.27,42.971,43.767,55.438,55.438,75.135,79.189,75.946,78.161,85.326,,90.811,85.676,51.905,51.905,58.635,45.498,60.27,60.0,61.092,57.612,57.297,56.575,41.425,41.27,46.711,46.684,45.812,45.426,25.26,26.768,28.286,24.372,25.126,23.618,26.154,25.505,25.187,26.263,26.515,27.34,26.961,27.206,24.255,31.359,31.01,31.707,30.0,24.431,24.431,32.741,33.503,30.886,27.332,29.777,29.34,43.299,31.266,28.499,30.769,40.909,31.266,35.959,30.905,43.229,32.911,43.066,27.356,33.623,35.802,33.499,35.236,36.519,42.373,42.373,33.168,29.091,42.177,33.168,43.151,42.745,25.654,26.99,27.002,23.15,26.087,25.39,30.033,23.799,22.883,30.0,33.333,31.579,34.663,34.184,38.422,36.709,31.152,36.201,41.667,32.995,31.218,31.472,33.249,31.472,37.358
OR85,0.0,41.803,39.844,40.496,40.157,39.13,42.029,42.029,42.782,39.108,46.701,40.0,39.895,35.958,28.418,40.157,38.421,43.028,39.633,40.157,40.42,38.845,41.892,39.37,40.157,40.157,40.157,28.125,34.037,31.398,25.556,31.662,30.677,35.092,32.982,31.662,31.662,32.982,29.352,34.301,34.301,32.982,32.982,29.815,29.815,32.718,29.894,33.509,32.19,8.962,23.298,23.298,22.192,24.672,23.36,23.885,23.885,26.772,23.36,24.084,18.883,23.037,23.298,22.251,23.298,10.484,0.0,24.346,24.346,25.197,42.257,25.459,24.147,7.692,23.885,23.885,18.039,25.197,20.8,23.36,16.471,8.242,24.672,12.245,20.64,24.409,41.27,45.358,44.297,56.499,56.233,76.757,77.838,76.216,79.885,88.315,90.811,,94.865,54.762,54.762,59.839,47.393,62.973,62.162,63.481,59.104,59.189,58.104,42.48,42.063,46.711,48.541,46.335,44.795,25.0,26.263,27.429,23.869,24.874,23.367,26.154,25.505,25.187,26.01,26.01,28.079,26.471,26.716,25.745,31.359,31.01,30.488,30.0,24.431,24.431,34.518,34.518,31.139,27.983,29.28,28.851,43.299,31.017,27.735,30.025,40.909,31.514,35.616,30.653,42.708,31.899,45.255,27.586,33.043,35.802,33.747,35.484,36.86,43.503,43.503,32.178,29.091,44.218,34.158,45.205,40.392,26.702,26.298,26.545,22.912,25.629,24.944,28.053,22.883,21.51,20.0,33.838,33.333,35.411,34.949,38.168,37.722,31.937,35.484,41.667,32.234,30.203,30.964,32.487,30.964,35.849
OR97,0.0,38.525,36.719,40.496,37.533,26.087,37.319,37.319,39.37,35.433,39.594,36.111,36.745,32.808,24.933,36.745,35.0,37.849,36.483,37.008,37.27,35.696,39.189,36.22,37.008,37.008,37.008,31.034,35.734,32.964,28.395,33.241,33.047,36.842,34.626,33.241,33.241,34.626,31.273,36.011,36.011,34.626,34.626,31.302,31.302,34.349,31.389,35.18,33.795,9.794,24.451,24.451,23.343,25.895,24.518,25.069,25.069,28.099,24.518,25.275,19.832,24.176,24.451,23.352,24.451,11.017,0.0,25.549,25.549,26.446,38.845,26.722,25.344,8.537,25.069,25.069,19.409,26.446,21.849,24.518,17.722,9.146,25.895,13.483,21.779,25.62,41.27,43.501,42.175,53.316,53.316,72.162,72.703,72.162,71.264,83.152,85.676,94.865,,48.095,48.095,55.823,42.654,60.541,59.459,60.068,56.119,56.216,54.74,39.578,38.624,40.132,45.093,43.194,46.382,23.438,24.495,25.429,22.362,23.367,21.859,22.308,24.242,23.94,24.747,24.747,25.369,24.51,24.51,24.043,29.268,28.92,28.78,28.537,22.153,22.153,31.726,31.726,28.861,26.03,26.799,26.406,32.99,28.288,24.936,27.295,35.859,29.032,32.534,28.392,36.979,29.62,38.686,25.057,30.145,33.827,31.017,32.754,33.447,37.853,37.853,29.208,25.152,36.735,31.436,37.671,40.392,26.702,23.875,24.943,21.241,23.799,23.163,26.073,21.968,20.366,20.0,30.808,30.827,32.668,32.143,36.132,36.203,30.366,32.258,33.333,29.949,27.665,28.68,29.949,28.426,32.075
OR129,0.0,37.255,35.294,25.0,32.11,38.462,35.321,35.321,33.945,35.321,38.265,35.321,33.486,31.193,36.15,35.78,35.78,35.78,33.486,33.486,32.569,33.945,39.726,34.404,34.404,34.404,34.404,16.754,17.593,18.519,18.436,18.056,17.593,16.204,18.981,16.204,16.204,19.907,18.519,16.667,16.667,16.667,16.667,13.426,13.426,17.593,17.593,18.981,18.981,4.739,6.019,6.019,4.63,4.167,3.704,4.167,4.167,5.093,4.167,6.481,5.687,6.481,6.481,6.481,6.944,0.0,0.0,5.556,5.556,4.63,35.648,5.556,5.556,2.21,3.704,3.704,4.63,4.167,3.318,4.167,4.167,2.21,4.167,3.077,6.019,2.778,20.0,41.667,43.056,45.37,43.981,55.981,55.024,55.502,62.209,52.153,51.905,54.762,48.095,,99.522,59.809,80.383,62.201,64.593,64.593,60.766,62.679,57.229,43.056,37.963,43.046,41.395,42.534,39.007,28.436,34.884,34.419,27.064,28.111,25.346,33.333,29.302,28.636,28.372,28.837,31.696,30.18,29.73,22.569,26.718,26.718,36.986,34.703,23.448,23.448,40.741,39.815,31.674,25.09,36.792,36.792,50.0,37.559,37.559,35.681,38.071,35.681,36.744,33.333,42.408,37.674,43.382,32.53,31.013,40.465,35.349,33.953,35.349,37.5,37.5,42.326,31.022,42.466,40.465,42.069,20.0,6.25,26.496,27.66,22.222,27.66,27.66,26.293,26.809,22.128,11.111,34.404,31.081,37.668,36.279,36.53,33.032,27.854,33.945,38.168,33.945,33.945,32.569,33.486,34.862,33.028
OR130,0.0,37.255,35.747,25.0,32.11,38.462,35.321,35.321,33.945,35.321,38.265,35.321,33.486,31.193,36.15,35.78,35.78,35.78,33.486,33.486,32.569,33.945,39.726,34.404,34.404,34.404,34.404,16.754,17.593,18.519,18.436,18.056,17.593,16.204,18.981,16.204,16.204,19.907,18.519,16.667,16.667,16.667,16.667,13.426,13.426,17.593,17.593,18.981,18.981,4.739,6.019,6.019,4.63,4.167,3.704,4.167,4.167,5.093,4.167,6.481,5.687,6.481,6.481,6.481,6.944,0.0,0.0,5.556,5.556,4.63,35.648,5.556,5.556,2.21,3.704,3.704,4.63,4.167,3.318,4.167,4.167,2.21,4.167,3.077,6.019,2.778,20.0,41.667,43.056,45.37,43.981,55.981,55.024,55.502,62.209,52.153,51.905,54.762,48.095,99.522,,60.287,80.861,62.201,64.593,64.593,60.766,62.679,57.229,43.056,37.963,43.046,41.395,42.534,39.007,28.91,34.884,34.419,27.064,28.111,25.346,33.333,29.302,28.636,28.372,28.837,31.696,30.18,29.73,22.569,26.718,26.718,36.53,34.247,23.448,23.448,40.741,39.815,31.674,25.448,36.321,36.321,48.958,37.089,37.089,35.681,37.563,35.211,37.209,33.796,42.932,38.14,44.118,32.932,31.013,40.93,35.349,33.953,35.349,37.5,37.5,41.86,31.387,43.151,40.93,42.759,20.0,6.25,26.923,27.66,22.222,28.085,28.085,26.293,26.809,22.128,11.111,34.404,31.081,37.668,36.279,36.53,33.032,27.854,34.404,38.931,34.404,34.404,33.028,33.945,35.321,33.486
OR128,0.0,39.256,41.825,38.136,35.769,36.842,39.231,39.231,38.077,36.923,42.0,37.692,38.846,33.077,36.078,39.231,39.231,39.37,37.692,38.462,38.462,38.462,36.364,38.462,38.846,38.846,38.846,25.907,29.297,28.906,23.757,28.125,28.571,28.516,27.734,25.781,26.172,25.391,26.563,25.391,25.391,25.0,25.0,21.484,21.484,25.781,25.781,25.781,26.172,8.451,15.625,15.625,13.672,15.234,14.063,14.844,14.844,14.063,12.109,14.453,10.359,14.063,14.453,14.063,14.063,0.0,0.0,15.234,15.234,17.969,39.535,17.188,18.359,6.557,16.406,16.406,18.75,18.75,12.749,17.969,17.969,8.197,17.188,12.183,16.406,16.406,32.54,41.176,40.784,50.0,49.609,57.371,58.964,57.769,56.818,57.895,58.635,59.839,55.823,59.809,60.287,,79.621,75.304,78.543,78.138,74.089,75.304,82.843,39.844,41.569,41.447,43.701,43.243,64.835,26.667,31.418,31.801,32.7,32.319,29.658,30.0,32.567,31.955,32.95,32.567,27.574,28.676,28.938,25.152,25.436,25.087,31.716,31.343,24.638,24.638,35.294,33.725,30.116,27.273,31.559,31.559,35.714,32.319,32.319,32.955,36.683,33.712,34.601,32.941,43.229,35.955,38.849,27.946,36.408,38.113,33.333,32.707,32.707,35.196,35.196,34.328,26.935,37.838,36.842,38.095,39.2,13.115,26.644,27.586,22.878,27.241,27.241,28.223,25.862,26.102,20.0,34.328,28.782,33.333,34.749,35.094,32.21,30.827,36.122,39.394,36.122,34.981,34.981,37.643,36.122,35.361
OR132,0.0,35.294,35.556,25.0,30.631,36.842,33.333,33.333,31.532,31.982,35.5,32.883,33.784,31.532,35.023,34.685,34.685,34.685,31.982,32.432,31.532,32.883,36.364,32.883,33.333,33.333,33.333,17.098,17.89,17.89,18.785,16.514,16.972,16.055,17.431,15.596,15.596,18.349,16.972,16.972,16.972,16.514,16.514,12.385,12.385,17.431,17.431,17.431,18.807,4.695,5.963,5.963,4.587,4.128,3.67,4.128,4.128,5.046,4.128,6.422,5.634,6.422,6.422,6.422,6.881,0.0,0.0,5.505,5.505,4.587,31.364,5.505,5.505,2.186,3.67,3.67,4.587,4.128,3.286,4.128,4.128,2.186,4.128,3.046,5.963,2.752,20.0,35.945,37.327,44.037,43.578,46.948,47.418,48.357,53.409,45.933,45.498,47.393,42.654,80.383,80.861,79.621,,59.33,62.201,61.722,56.938,59.33,61.446,35.484,36.866,41.447,37.037,37.557,39.007,28.111,32.407,32.407,29.817,29.358,26.147,30.0,29.167,28.507,28.704,29.167,29.464,27.679,28.444,20.548,24.046,24.046,32.42,30.594,21.724,21.724,35.023,33.18,27.602,23.158,31.308,31.308,35.714,32.71,32.71,29.767,32.663,31.163,34.419,31.336,40.104,34.404,38.849,28.571,31.646,36.406,31.507,30.734,31.193,32.402,32.402,35.616,27.536,37.838,37.327,37.415,20.0,6.25,25.532,25.424,19.355,25.847,25.847,25.322,25.424,23.651,20.0,33.929,28.509,33.624,35.349,33.484,29.596,26.577,33.333,39.394,34.703,34.703,32.877,34.703,35.16,33.333
OR111,0.0,38.798,38.903,36.364,36.842,39.56,40.727,40.727,37.105,35.526,42.347,36.49,37.368,34.211,26.273,37.632,35.092,39.6,37.632,37.368,38.158,37.105,39.726,37.632,38.421,38.421,38.421,25.131,30.952,30.423,24.022,30.952,27.6,31.746,31.746,27.513,28.836,29.894,28.425,30.688,30.688,28.836,28.836,28.042,28.042,30.423,28.117,30.423,29.63,8.612,21.372,21.372,20.166,23.016,23.28,21.958,21.958,22.751,21.164,23.219,19.251,21.9,22.427,21.636,21.636,9.563,0.0,23.483,24.274,23.81,39.211,22.751,22.222,6.704,22.751,22.751,17.46,23.545,19.571,22.751,16.27,7.821,23.28,10.363,19.355,23.545,34.127,41.223,40.691,50.0,48.67,60.705,60.163,62.331,64.535,59.079,60.27,62.973,60.541,62.201,62.201,75.304,59.33,,76.694,74.658,73.054,73.442,72.699,41.534,42.175,43.709,44.415,43.194,56.782,24.479,27.848,28.653,27.387,27.96,26.448,33.333,29.62,29.25,27.342,27.595,27.34,28.325,27.586,25.373,28.571,28.223,31.051,30.807,25.673,25.673,34.949,35.204,28.861,28.913,30.0,29.557,43.75,29.925,27.366,30.673,39.286,30.424,37.153,31.313,45.213,32.992,43.382,27.88,30.702,34.663,33.083,33.083,35.986,42.775,42.775,32.5,30.675,41.096,33.5,41.379,37.255,21.99,25.347,24.541,22.33,23.624,22.991,27.815,22.936,22.936,11.111,32.398,29.397,33.0,32.398,36.061,34.772,31.926,35.507,40.458,34.783,34.527,32.737,35.038,33.76,38.168
OR92,0.0,41.962,41.406,37.86,39.895,41.758,38.545,38.545,39.108,37.008,44.898,38.719,38.845,35.171,26.738,38.32,35.263,39.2,38.32,38.845,39.108,38.058,41.096,39.895,40.157,40.157,40.157,25.654,30.871,29.815,21.788,32.982,26.8,34.301,33.598,30.159,31.481,32.454,30.822,33.245,33.245,33.509,33.509,29.551,29.551,32.454,29.365,32.454,31.926,9.005,22.775,22.775,22.527,25.0,25.789,24.211,24.211,24.409,21.785,22.251,18.568,20.942,21.466,20.419,20.681,9.946,0.0,23.822,23.822,24.934,41.207,24.672,23.622,6.077,23.36,23.36,18.11,25.722,21.809,25.197,17.323,7.735,24.409,12.308,21.866,24.147,31.746,41.755,42.553,52.394,51.724,60.0,61.518,61.518,63.372,59.621,60.0,62.162,59.459,64.593,64.593,78.543,62.201,76.694,,93.151,79.042,81.622,82.822,42.593,43.501,45.695,45.889,43.864,60.377,27.792,30.051,29.513,28.07,28.643,26.884,32.558,29.545,29.177,29.545,29.04,27.586,29.902,29.657,25.745,30.314,29.617,33.09,33.577,25.826,25.826,33.503,34.01,28.788,28.633,31.592,31.127,42.708,33.747,30.789,32.258,40.609,31.017,35.274,30.905,47.644,32.995,47.059,28.046,33.237,35.556,33.002,34.243,36.644,41.477,41.477,31.683,29.179,43.151,35.396,44.828,37.5,23.958,25.694,25.172,22.488,25.629,24.944,28.146,23.57,21.968,11.111,33.924,31.658,35.75,34.949,38.776,36.203,33.684,38.267,43.511,34.694,36.224,32.908,35.714,34.439,38.783
OR102,0.0,38.889,40.0,34.756,38.411,39.56,37.455,37.455,37.748,35.762,44.388,37.086,37.086,32.45,29.73,37.417,37.417,37.6,36.755,37.417,38.079,36.755,38.356,38.079,37.748,37.748,37.748,25.654,29.0,29.0,22.346,30.667,26.4,30.0,29.667,27.333,28.0,26.667,28.425,28.0,28.0,29.333,29.333,24.667,24.667,28.667,28.667,28.333,28.667,8.531,17.881,17.881,17.94,18.605,18.272,18.937,18.937,18.272,16.611,17.55,13.805,16.225,16.887,17.219,17.55,3.767,0.0,19.536,19.868,20.93,40.864,21.595,18.937,6.077,18.605,18.605,17.717,21.595,17.568,21.595,16.929,7.735,20.266,12.308,18.937,18.605,30.952,41.806,44.147,51.839,52.174,59.932,61.986,60.616,62.209,59.589,61.092,63.481,60.068,64.593,64.593,78.138,61.722,74.658,93.151,,79.795,82.877,84.337,41.667,41.806,44.371,45.973,41.447,64.192,27.027,30.293,30.293,30.0,30.744,28.479,29.457,31.596,31.09,31.27,31.27,29.503,32.813,31.875,26.79,28.92,29.268,34.146,34.451,25.377,25.377,34.528,34.528,29.582,28.418,32.803,32.188,43.75,34.603,34.286,33.968,40.609,32.381,32.877,33.548,44.503,34.921,44.118,29.855,36.187,38.854,34.713,35.987,36.301,40.341,40.341,34.603,28.267,42.466,37.143,44.138,35.838,21.101,25.347,25.937,22.256,25.937,25.937,27.815,25.072,24.207,11.111,34.405,30.573,35.443,34.416,38.065,36.538,34.084,37.184,41.985,37.419,37.742,34.516,37.419,36.452,38.023
OR106,0.0,38.973,41.379,39.13,37.391,38.462,37.818,37.818,40.0,37.681,45.408,40.0,38.551,34.783,26.036,38.261,35.756,38.8,37.971,39.42,38.841,38.261,38.356,39.42,40.0,40.0,40.0,24.084,33.236,32.07,24.022,32.653,26.8,31.778,30.904,27.988,29.155,30.029,28.082,29.738,29.738,30.904,30.904,28.571,28.571,32.07,29.532,30.029,31.487,8.531,20.52,20.52,19.71,20.87,21.739,20.58,20.58,22.609,19.42,22.254,17.889,20.52,20.52,21.387,21.965,8.929,0.0,23.41,23.699,25.217,41.739,23.188,21.739,6.63,24.928,24.928,17.323,25.797,20.294,24.348,16.535,7.735,24.058,12.308,20.408,22.029,34.921,40.469,41.056,50.147,49.56,56.587,56.587,57.784,62.209,58.683,57.612,59.104,56.119,60.766,60.766,74.089,56.938,73.054,79.042,79.795,,84.431,86.254,40.525,43.275,44.371,45.748,44.092,56.679,25.872,29.859,29.226,28.492,29.132,27.451,31.008,31.268,30.833,30.141,29.577,31.707,31.88,30.79,24.009,26.132,25.784,33.067,32.267,24.719,24.719,34.278,34.278,28.212,29.762,31.302,30.79,41.667,31.215,28.011,32.044,39.086,30.387,33.562,30.833,43.455,33.973,46.324,29.873,34.853,37.637,34.066,34.341,35.616,42.045,42.045,33.425,28.267,37.671,33.699,38.621,38.182,21.795,26.042,24.06,20.789,24.311,23.601,28.808,24.561,23.058,11.111,33.24,30.471,31.956,30.986,35.574,33.983,34.637,37.184,41.221,33.613,33.613,31.933,34.174,33.333,36.122
OR108,0.0,38.564,38.168,34.921,36.41,38.462,38.182,38.182,37.692,36.667,44.388,39.554,36.667,33.077,24.543,36.667,33.933,38.0,34.872,37.949,36.923,36.923,39.726,36.667,36.923,36.923,36.923,23.56,31.25,29.688,21.788,30.469,25.2,30.469,30.952,28.836,29.101,30.184,27.055,30.446,30.446,29.921,29.921,27.297,27.297,30.446,27.895,28.084,29.921,9.005,23.698,23.698,20.879,23.947,23.158,22.368,22.368,21.907,21.964,21.728,17.772,20.419,20.942,19.182,20.205,10.499,0.0,22.513,24.346,22.997,38.381,21.705,21.189,6.077,21.964,21.964,18.11,23.622,19.372,22.997,17.323,7.735,21.705,11.795,19.534,20.93,32.54,40.691,39.894,49.202,48.825,57.568,58.537,59.079,63.372,58.537,57.297,59.189,56.216,62.679,62.679,75.304,59.33,73.442,81.622,82.877,84.431,,88.957,37.302,41.379,45.033,43.651,43.081,58.176,25.714,30.051,30.086,28.07,28.643,27.638,31.783,30.051,29.676,29.293,29.798,29.064,30.637,29.902,24.008,27.178,26.829,32.134,31.894,24.59,24.59,32.487,32.234,27.16,29.741,29.684,29.257,41.667,31.311,28.607,31.695,39.086,30.958,33.562,29.975,43.455,34.518,44.853,26.351,31.549,34.783,31.068,31.311,35.616,40.341,40.341,31.235,29.179,37.671,32.446,38.621,35.094,22.388,26.042,23.094,20.141,24.439,23.799,28.477,22.87,20.852,11.111,32.911,29.648,32.75,31.888,34.184,32.178,33.684,36.823,40.458,32.143,31.378,30.867,32.908,31.122,35.741
