Tree_ID,Original_FASTA_ID,Hill_ID,Transcript_ID,Species,Species_code,Gene_symbol,Family,Protein_accession,Accession_ID,NCBI_description,Database_source
HillTRP37,TRP37,HillTRP37,XM_038066462.1,Hermetia illucens,Hill,TRP37,TRP,XP_037922390.1,XM_038066462.1,Transient receptor potential channel TRP37 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP82,TRP82,HillTRP82,XM_038066600.1,Hermetia illucens,Hill,TRP82,TRP,XP_037922528.1,XM_038066600.1,Transient receptor potential channel TRP82 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP21,TRP21,HillTRP21,XM_038066601.1,Hermetia illucens,Hill,TRP21,TRP,XP_037922529.1,XM_038066601.1,Transient receptor potential channel TRP21 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP33,TRP33,HillTRP33,XM_038066602.1,Hermetia illucens,Hill,TRP33,TRP,XP_037922530.1,XM_038066602.1,Transient receptor potential channel TRP33 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRPm7,TRPm7,HillTRPm7,XM_038066768.1,Hermetia illucens,Hill,TRPm7,TRP,XP_037922696.1,XM_038066768.1,Transient receptor potential channel TRPm7 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRPm6,TRPm6,HillTRPm6,XM_038066769.1,Hermetia illucens,Hill,TRPm6,TRP,XP_037922697.1,XM_038066769.1,Transient receptor potential channel TRPm6 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRPm5,TRPm5,HillTRPm5,XM_038066770.1,Hermetia illucens,Hill,TRPm5,TRP,XP_037922698.1,XM_038066770.1,Transient receptor potential channel TRPm5 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRPm4,TRPm4,HillTRPm4,XM_038066771.1,Hermetia illucens,Hill,TRPm4,TRP,XP_037922699.1,XM_038066771.1,Transient receptor potential channel TRPm4 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRPm13,TRPm13,HillTRPm13,XM_038066772.1,Hermetia illucens,Hill,TRPm13,TRP,XP_037922700.1,XM_038066772.1,Transient receptor potential channel TRPm13 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRPm12,TRPm12,HillTRPm12,XM_038066773.1,Hermetia illucens,Hill,TRPm12,TRP,XP_037922701.1,XM_038066773.1,Transient receptor potential channel TRPm12 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRPm10,TRPm10,HillTRPm10,XM_038066774.1,Hermetia illucens,Hill,TRPm10,TRP,XP_037922702.1,XM_038066774.1,Transient receptor potential channel TRPm10 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRPm3,TRPm3,HillTRPm3,XM_038066776.1,Hermetia illucens,Hill,TRPm3,TRP,XP_037922704.1,XM_038066776.1,Transient receptor potential channel TRPm3 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRPm2,TRPm2,HillTRPm2,XM_038066777.1,Hermetia illucens,Hill,TRPm2,TRP,XP_037922705.1,XM_038066777.1,Transient receptor potential channel TRPm2 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRPm15,TRPm15,HillTRPm15,XM_038066778.1,Hermetia illucens,Hill,TRPm15,TRP,XP_037922706.1,XM_038066778.1,Transient receptor potential channel TRPm15 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRPm14,TRPm14,HillTRPm14,XM_038066779.1,Hermetia illucens,Hill,TRPm14,TRP,XP_037922707.1,XM_038066779.1,Transient receptor potential channel TRPm14 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRPm11,TRPm11,HillTRPm11,XM_038066780.1,Hermetia illucens,Hill,TRPm11,TRP,XP_037922708.1,XM_038066780.1,Transient receptor potential channel TRPm11 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRPm9,TRPm9,HillTRPm9,XM_038066781.1,Hermetia illucens,Hill,TRPm9,TRP,XP_037922709.1,XM_038066781.1,Transient receptor potential channel TRPm9 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRPm8,TRPm8,HillTRPm8,XM_038066782.1,Hermetia illucens,Hill,TRPm8,TRP,XP_037922710.1,XM_038066782.1,Transient receptor potential channel TRPm8 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRPm1,TRPm1,HillTRPm1,XM_038066783.1,Hermetia illucens,Hill,TRPm1,TRP,XP_037922711.1,XM_038066783.1,Transient receptor potential channel TRPm1 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP89,TRP89,HillTRP89,XM_038066968.1,Hermetia illucens,Hill,TRP89,TRP,XP_037922896.1,XM_038066968.1,Transient receptor potential channel TRP89 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP20,TRP20,HillTRP20,XM_038067727.1,Hermetia illucens,Hill,TRP20,TRP,XP_037923655.1,XM_038067727.1,Transient receptor potential channel TRP20 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP25,TRP25,HillTRP25,XM_038067728.1,Hermetia illucens,Hill,TRP25,TRP,XP_037923656.1,XM_038067728.1,Transient receptor potential channel TRP25 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP16,TRP16,HillTRP16,XM_038067729.1,Hermetia illucens,Hill,TRP16,TRP,XP_037923657.1,XM_038067729.1,Transient receptor potential channel TRP16 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP13,TRP13,HillTRP13,XM_038068341.1,Hermetia illucens,Hill,TRP13,TRP,XP_037924269.1,XM_038068341.1,Transient receptor potential channel TRP13 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP_brivido11,TRP_brivido11,HillTRP_brivido11,XM_038068440.1,Hermetia illucens,Hill,TRP_brivido11,TRP,XP_037924368.1,XM_038068440.1,Transient receptor potential channel TRP_brivido11 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP59,TRP59,HillTRP59,XM_038069749.1,Hermetia illucens,Hill,TRP59,TRP,XP_037904017.1,XM_038069749.1,Transient receptor potential channel TRP59 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP56,TRP56,HillTRP56,XM_038069752.1,Hermetia illucens,Hill,TRP56,TRP,XP_037904017.1,XM_038069752.1,Transient receptor potential channel TRP56 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP51,TRP51,HillTRP51,XM_038069758.1,Hermetia illucens,Hill,TRP51,TRP,XP_037904017.1,XM_038069758.1,Transient receptor potential channel TRP51 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP76,TRP76,HillTRP76,XM_038069766.1,Hermetia illucens,Hill,TRP76,TRP,XP_037904017.1,XM_038069766.1,Transient receptor potential channel TRP76 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP54,TRP54,HillTRP54,XM_038070213.1,Hermetia illucens,Hill,TRP54,TRP,XP_037905498.1,XM_038070213.1,Transient receptor potential channel TRP54 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP53,TRP53,HillTRP53,XM_038070214.1,Hermetia illucens,Hill,TRP53,TRP,XP_037905498.1,XM_038070214.1,Transient receptor potential channel TRP53 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP55,TRP55,HillTRP55,XM_038070215.1,Hermetia illucens,Hill,TRP55,TRP,XP_037905498.1,XM_038070215.1,Transient receptor potential channel TRP55 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP52,TRP52,HillTRP52,XM_038070216.1,Hermetia illucens,Hill,TRP52,TRP,XP_037905498.1,XM_038070216.1,Transient receptor potential channel TRP52 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP50,TRP50,HillTRP50,XM_038070217.1,Hermetia illucens,Hill,TRP50,TRP,XP_037905498.1,XM_038070217.1,Transient receptor potential channel TRP50 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP4,TRP4,HillTRP4,XM_038070659.1,Hermetia illucens,Hill,TRP4,TRP,XP_037903089.1,XM_038070659.1,Transient receptor potential channel TRP4 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP3,TRP3,HillTRP3,XM_038070660.1,Hermetia illucens,Hill,TRP3,TRP,XP_037903089.1,XM_038070660.1,Transient receptor potential channel TRP3 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP_pkd21,TRP_pkd21,HillTRP_pkd21,XM_038070693.1,Hermetia illucens,Hill,TRP_pkd21,TRP,XP_037926621.1,XM_038070693.1,Transient receptor potential channel TRP_pkd21 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP88,TRP88,HillTRP88,XM_038070827.1,Hermetia illucens,Hill,TRP88,TRP,XP_037902434.1,XM_038070827.1,Transient receptor potential channel TRP88 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP22,TRP22,HillTRP22,XM_038070896.1,Hermetia illucens,Hill,TRP22,TRP,XP_037902434.1,XM_038070896.1,Transient receptor potential channel TRP22 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP87,TRP87,HillTRP87,XM_038070962.1,Hermetia illucens,Hill,TRP87,TRP,XP_037902434.1,XM_038070962.1,Transient receptor potential channel TRP87 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP86,TRP86,HillTRP86,XM_038071035.1,Hermetia illucens,Hill,TRP86,TRP,XP_037902434.1,XM_038071035.1,Transient receptor potential channel TRP86 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP85,TRP85,HillTRP85,XM_038071110.1,Hermetia illucens,Hill,TRP85,TRP,XP_037902434.1,XM_038071110.1,Transient receptor potential channel TRP85 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP81,TRP81,HillTRP81,XM_038071176.1,Hermetia illucens,Hill,TRP81,TRP,XP_037902434.1,XM_038071176.1,Transient receptor potential channel TRP81 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP83,TRP83,HillTRP83,XM_038071249.1,Hermetia illucens,Hill,TRP83,TRP,XP_037902434.1,XM_038071249.1,Transient receptor potential channel TRP83 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
